anime,date,score
宝石之国,2017年10月7日,7.7
我的邻居山田君,1999年7月17日,7.7
勇者王GaoGaiGar,1997年2月1日,7.8
黄金神威 第二季,2018年10月8日,7.7
剧场版 高达G之复国运动 Ⅴ 越过死线,2022年8月5日,7.8
重金属摇滚双面人,2008年8月8日,7.7
探险活宝 第四季,2012年4月2日,7.9
擅长捉弄的高木同学 第二季,2019年7月7日,7.7
飞出个未来 第2季,1999年11月21日,7.9
Go! Princess 光之美少女,2015年2月1日,7.7
灌篮高手,2022年12月3日,7.7
监狱兔 第四季,2011年3月1日,7.7
机动战士高达 剧场版III 相逢在宇宙,1982年3月13日,7.7
齐木楠雄的灾难,2016年7月10日,7.7
POKÉTOON动画系列,2020年6月5日,7.8
剧场版 吹响！悠风号～欢迎来到北宇治高中吹奏乐部～,2016年4月23日,7.7
猫物语（黑）,2012年12月31日,7.7
犬王,2022年5月28日,7.7
蜡笔小新 决一胜负！逆袭的机器人爸爸,2014年4月19日,7.7
草莓棉花糖 OVA 第1期,2007年2月23日,7.7
探险活宝 第六季,2014年4月21日,7.9
探险活宝 第三季,2011年7月11日,7.9
摇曳百合♪♪,2012年7月2日,7.7
CLANNAD 另一个世界 智代篇,2008年7月16日,7.7
紫罗兰永恒花园 特别编集版,2021年10月29日,7.7
排球少年 TO THE TOP 第二期,2020年10月2日,7.7
阿尔卑斯山的少女海蒂,1974年1月6日,7.8
悠哉日常大王 Repeat OAD,2016年9月23日,7.7
日常 OAD,2011年3月12日,7.7
探险活宝 第八季,2016年3月26日,8.0
头文字D,1998年4月19日,7.7
探险活宝 第五季,2012年11月12日,7.9
火柴人 VS 数学,2023年6月24日,7.9
天书奇谭,1983年,7.7
进击的巨人 最终季 完结篇 前篇,2023年3月3日,7.7
草莓棉花糖 OVA 第2期,2009年1月23日,7.7
铁臂阿童木,1963年1月1日,7.7
偶像活动！ 10th STORY ～通往未来的STARWAY～,2023年1月20日,8.2
剑风传奇 黄金时代篇II 多尔多雷攻略,2012年6月23日,7.7
飞出个未来 第3季,2001年1月21日,8.0
黄金神威 第四季,2022年10月3日,7.7
高智能方程式：ZERO,1994年4月1日,7.7
探险活宝 第七季,2015年11月2日,8.0
悠哉日常大王 OAD,2014年7月23日,7.7
剧场版 空之境界 未来福音 extra chorus,2013年9月28日,7.7
刀语,2010年1月25日,7.7
南方公园 第11季,2007年3月7日,7.8
小魔女学园,2017年1月8日,7.7
福星小子 第二季,2024年1月11日,7.8
飞屋环游记,2009年5月29日,7.7
甲贺忍法帖,2005年4月12日,7.7
第一神拳 New Challenger,2009年1月6日,7.8
南家三姐妹 我回来了,2013年1月5日,7.7
向阳素描×☆☆☆,2010年1月7日,7.7
疯狂动物城,2016年3月4日,7.7
来自深渊 启程之拂晓,2019年1月4日,7.7
花田少年史,2002年10月1日,7.7
水星领航员 The CREPUSCOLO,2021年3月5日,7.7
牧笛,1963年,7.9
进击的巨人 最终季,2020年12月6日,7.7
鲁邦三世 第二期,1977年10月3日,7.8
和巴什尔跳华尔兹,2008年5月13日,7.8
Little Busters! 〜Refrain〜,2013年10月5日,7.7
飞跃巅峰2！剧场版,2006年10月1日,7.7
银河英雄传说 我的征途是星辰大海,1988年2月6日,7.7
忏・再见绝望先生 番外地,2009年11月17日,7.7
成龙历险记 第二季,2001年9月8日,7.7
异世界舅舅,2022年7月6日,7.7
飞出个未来 第7季,2012年6月20日,7.9
路人女主的养成方法 Fine,2019年10月26日,7.7
青兰圆舞曲,1991年7月14日,7.8
隐瞒之事,2020年4月2日,7.7
好想告诉你 第二季,2011年1月4日,7.7
银河英雄传说 Die Neue These 策谋 第3章,2022年11月25日,7.7
你看起来很好吃,2010年10月16日,7.7
